Index,Location,Year
903,"European Centre for the Validation of Alternative Methods, Institute for Health & Consumer Protection, European Commission Joint Research Centre, Ispra (VA), Italy.",2001
904,"Cyberonics, Inc., 16511 Space Center Boulevard, Suite 600, Houston, TX 77058, USA.",2001
905,"Division STS/duo TEK, Inc, Rush, NY 14343, USA.",2001
906,"Food and Drug Administration, Center for Devices and Radiological Health, Office of Science and Technology, Rockville, MD 20852, USA.",1995
907,School of Dental Science and Dublin Dental Hospital.,2001
908,"Novartis Pharma AG, WSH2881, Auhafen, 4132 Muttenz, Basel, Switzerland.",2001
909,"Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20850, USA.",2001
910,"Brown-Spath Associates, Forest Grove, OR, USA.",2001
911,"Division of Urology, Lawson Health Research Institute, 268 Grosvenor Street, Ont., N6A 4V2, London, Canada",2001
912,"Department of Microbiology and Immunology, The University of Western Ontario, and Lawson Research Institute, London, Canada.",1999
913,"Department of Microbiology and Immunology, The University of Western Ontario, London, Canada.",1999
914,"Department of Microbiology and Immunology, University of Western Ontario, London, Canada.",1999
915,"Department of Surgery, University of Colorado, Denver, USA.",2001
916,"Department of Experimental Surgery and Biomaterials Research Chair of Traumatologic, Wroclaw Medical University.",2001
917,"University of Geneva, School of Dental Medicine, 19 rue Barthélemy-Menn, CH-1211 Geneva 4, Switzerland.",2001
918,"Materials and Biosciences Center, Medtronic Bakken Research Center, Maastricht, The Netherlands.",2001
919,"Department of Mechanical and Production Engineering, National University of Singapore, Singapore.",2001
920,"Royal Hospitals Trust, Belfast.",2001
921,"Department of Laboratory Medicine and Pathology, University of Minnesota Medical School, 420 Delaware St. SE, Minneapolis, MN 55455, USA.",2001
922,"Institute of Radio-Engineering and Electronics of Russian Academy of Sciences, Moscow.",2001
923,"BUPA Murrayfield Hospital, Corstorphine Road, Edinburgh.",2001
924,"GloMediX AG, Munich, Germany.",2001
925,"Ethicon Endo-Surgery Inc., Dülmen, Germany.",2001
926,"European Sterilization Packaging Association, Little Kineton, UK.",1995
927,"Northwestern University Dental School, 240 East Huron Street, Chicago, Illinois, 60611, USA.",2001
928,"Department of Critical Care, Maine Medical Center, Portland 04102, USA.",2001
929,"Rahmoeller Consulting, Inc.",2001
930,"University Polytechnic of Madrid, C/José Gutierrez Abascal, 2, 28006 Madrid, Spain.",2001
931,"Health Law Department, McDermott, Will & Emery, Miami, Florida, USA.",2001
932,"Academy for International Health Studies, California, USA.",2001
933,"ZEBET/BgVV, D-Berlin.",2001
934,"Cardiac Unit, Massachusetts General Hospital, 55 Fruit Street, Boston, Massachusetts 02114-2696, USA.",2001
935,"Institute of Hygiene and Environmental Medicine, Greifswald, Germany.",2001
936,"Department of Chemistry, 55 North Eagleville Road, University of Connecticut, Storrs, CT 06269-4060, USA.",2001
937,"Department of Anesthesiology, Jefferson Medical College, Thomas Jefferson University, Philadelphia, Pennsylvania 19107-5092, USA.",2001
938,"Departments of Diagnostic Radiology, University Hospital Tübingen, Hoppe-Seyler-Strasse 3, D-72076 Tübingen, Germany.",2001
939,"Pharmacia & Upjohn, Kalamazoo, Michigan, USA.",2001
940,"Telecommunications and Mobile Services, Mayo Clinic, 200 First St SW, Rochester, MN 55905, USA.",2001
941,"Lowell Center for Sustainable Production, Department of Work Environment, University of Massachusetts, Lowell, MA 01854, USA.",2001
942,"Medical Devices Agency, London.",2001
943,"Department of Health and Human Services, Office of Disease Prevention and Health Promotion, Room 738 G (Humphrey Building), 200 Independence Avenue, SW, Washington,  20201, USA.",2001
944,"Department of Nuclear Medicine, University Medical Center, Utrecht, The Netherlands.",2001
945,"Department of Surgery, Veterans Administration Medical Center, University of Miami, Miami, Florida, USA.",2001
946,"Faculty of Management and Organization, University of Groningen, The Netherlands.",2000
947,"Utah Artificial Heart Institute, Salt Lake City, USA.",2000
948,"Department of Mechanical Engineering, School of Engineering, University of Tokyo, Japan.",2000
949,University D-Konstanz.,2000
950,"Gad Consulting Services, Raleigh, NC 27608.",1994
951,"Department of Anesthesiology, University of Sherbrooke, Sherbrooke, Quebec, Canada.",2000
952,"University of Arizona, Pediatric Cardiology, 1501 North Campbell Avenue, #3302, Tucson, AZ 84724, USA.",2000
953,"Critical Care Medicine, Rush-Presbyterian-St. Luke's Medical Center, 1653 West Congress Parkway, Chicago, IL 60612, USA.",2000
954,"Laboratorio di Tecnologia Medica, Istituti Ortopedici Rizzoli, Bologna, Italy.",2000
955,"Laboratorio di Tecnologia dei Materiali, Istituti Ortopedici Rizzoli, Bologna, Italy.",1999
956,"Laboratorio di Tecnologia dei Materiali, Istituti Ortopedici Rizzoli, Bologna.",1997
957,"Department of Medical Informatics, Columbia University, New York, New York 10032, USA.",2000
958,"McDermott, Will & Emery, Los Angeles, California, USA.",2000
959,"University of British Columbia, Vancouver.",2000
960,"Pharmaceutical Sciences, Research and Development, Healthpoint, Ltd, San Antonio, TX 78215, USA.",2000
961,"National Technical University of Athens, Biomedical Engineering Laboratory, Greece.",2000
962,"Johnson & Johnson, New Brunswick, New Jersey, USA.",2000
963,"Isotron plc, Swindon, UK.",2000
964,"Department of Ophthalmology, Johannes Gutenberg-University, Mainz, Germany.",2000
965,"Department of Pathology 134, Hvidovre Hospital, University of Copenhagen, Denmark.",2000
966,"Department of Medicine, UCLA School of Medicine 90095-1736, USA.",2000
967,"University of California, San Francisco, California, USA.",2000
968,"Department of Biostatistics and Medical Informatics, University of Wisconsin, Madison, 53792-4675, USA.",2000
969,"Clinic of Anesthesiology, University Hospital Mainz, Germany.",2000
970,"Center for Devices and Radiological Health, United States Food and Drug Administration, Rockville, Maryland 20850, USA.",2000
971,"Food and Drug Administration, Rockville, Maryland 20850, USA.",1997
972,"Food and Drug Administration, Center for Devices and Radiological Health, Rockville, Maryland 20857, USA.",1995
973,"HaloSource Corporation, Seattle, Washington 98121-1010, USA.",2000
974,"Institute of Clinical Medicine, National Yang-Ming University School of Medicine, Taipei 112, Taiwan.",2000
975,"Department of Microbiology and Parasitology, Andrija Stampar School of Public Health, Zagreb University Medical School, Croatia.",2000
976,"ATKOSoft. SA, Marousi, Greece.",2000
977,"Center for Alternative Medicine Research, Beth Israel Deaconess Medical Center, Harvard Medical School, 330 Brookline Avenue, Boston, MA 02215, USA.",2000
978,"Division of Biochemical Toxicology, National Center for Toxicological Research, Jefferson, AR 72079, USA.",2000
979,"Cambridge Engineering Design Centre, Department of Engineering, University of Cambridge, UK.",2000
980,"Cambridge Engineering Design Centre, Department of Engineering, University of Cambridge.",2000
981,Cambridge Engineering Design Centre.,2000
982,"Department of Public Health Sciences, Division of International Health, IHCAR, Karolinska Institutet, SE-171 76, Stockholm, Sweden.",2000
983,"Federal University of São Paulo, Infectious Diseases Division, SP, Brazil.",2000
984,"UNAM Iztacala, México.",2000
985,Austrian Academy of Sciences.,2000
986,"Applied Systems Engineering, Faculty of Science and Engineering, Tokyo Denki University, Hatoyama, Saitama, Japan.",2000
987,"Terumo Corporation, Kanagawa, Japan.",1995
988,"Institute of Biomedical Science, Terumo Corporation, Kanagawa, Japan.",1993
989,"Department of Otolaryngology, Columbia University, New York, NY, USA.",2000
990,"Maddison Limited, Pulborough, UK.",2000
991,"Eurospec Institute for Risk and Quality Management GmbH, Darmstadt, Germany.",2000
992,"School of Chemistry, Physics and Environmental Science, University of Sussex, Falmer, Brighton BN1 9QJ, United Kingdom.",2000
993,"Pulmonary and Critical Care Divisions of University of California, San Diego Medical Center, USA.",2000
994,"School of Applied and Engineering Physics, G6 Clark Hall, Cornell University, Ithaca, New York 14853, USA.",2000
995,"Laboratoire de Recherches sur les Macromolécules, Institut Galilée, Villetaneuse, France.",2000
996,McGill University.,2000
997,"Research and Development Center, Terumo Corporation, Nakai-machi, Ashigarakami-gun, Kanagawa, Japan.",2000
998,"Department of Epidemiology, UCLA School of Public Health, Topanga, CA, USA.",2000
999,"Biosurface Technology, Biomedical Technology Wing, Sree Chitra Tirunal Institute for Medical Sciences and Technology, Kerala, India.",2000
1000,"Tennessee Department of Health, Nashville, USA.",2000
1001,"Norris, McLaughlin & Marcus, , USA.",2000
1002,"Institute of Applied Sciences in Medicine, Jakob Haringer Strasse 3, A-5020 Salzburg, Austria.",2000
1003,"Surveillance, Investigations and Research Branch, Division of Oral Health, Centers for Disease Control and Prevention, CDC-DOH, Chamblee, Ga. 30341, USA.",2000
1004,"Institute of Macromolecular Chemistry, Academy of Sciences of the Czech Republic, 162 06 Prague 6, Czech Republic.",2000
1005,"University of Minnesota, St. Paul, USA.",2000
1006,"Food and Drug Administration, Center for Devices and Radiological Health, Rockville, Maryland 20852, USA.",2000
1007,"Institute of Biomedical Engineering, University of Toronto, Toronto, Canada.",2000
1008,"Biofilm Research Group, University of Calgary, Alberta, Canada.",1992
1009,"Altran Corporation, Boston, Massachusetts 02210, USA.",1999
1010,"Department of Chemical Engineering and Applied Chemitry, Faculty of Engineering, University of Toronto, Ontario, Canada.",2000
1011,"Agrotechnological Research Institute (ATO-DLO), Wageningen, The Netherlands.",2000
1012,"National Centre for Epidemiology and Population Health, Australian National University, Australian Capital Territory.",2000
1013,"Advanstar Communications, Chester, UK.",2000
1014,"Research Department, Gambro AB, Box 10101, 220 10 Lund, Sweden.",2000
1015,"Gambro AB, Lund, Sweden.",1997
1016,"Gambro AB, Department of Regulatory Affairs and Preclinical Research, Lund, Sweden.",1994
1017,"Research Department, Gambro AB, Box 10101, 220 10 Lund, Sweden.",2000
1018,"Research Department, Gambro AB, Box 10101, 220 10 Lund, Sweden.",2000
1019,"Division of Telecommunications and Industrial Physics, CSIRO, Lindfield, Australia.",2000
1020,"Schepens Eye Research Institute, Harvard Medical School, Boston, MA 02114, USA.",2000
1021,"Regional Medical Physics Department, Freeman Hospital, Newcastle upon Tyne, UK.",2000
1022,"Institute of Electrical Engineering, National Taiwan University, Taipei,",2000
1023,"Department of Internal Medicine, Virginia Commonwealth University, Richmond, USA.",2000
1024,"Sanitätsamt der Bundeswehr, Abt. Medizinische Informatik, Bonn, Germany.",2000
1025,"Federal Institute for Drugs and Medical Devices, Berlin, Germany.",2000
1026,"Federal Institute for Drugs and Medical Devices, Berlin, Germany.",1995
1027,"Biocompatibles, Ltd., Farnham, Surrey, UK.",2000
1028,"University of Patras, School of Medicine, Department of Medical Physics Laboratory, Greece.",2000
1029,"Diode-Pumped Business Unit at Coherent Inc., Santa Clara, California, USA.",2000
1030,"Cambridge Engineering Design Centre, Department of Engineering, University of Cambridge, UK.",2000
1031,"Rexam Medical Packaging, Mundelein, Illinois, USA.",2000
1032,"Beacon Research/Biocoat, Inc.,  Box 277, Glenside, Pennsylvania 19038, USA.",2000
1033,"Circe Biomedical Inc., Lexington, MA 02421, USA.",2000
1034,"Colorado Analytical Research & Development Corporation, Colorado Springs 80907, USA.",2000
1035,"Department of Pediatric Pneumology and Immunology, Children's Hospital Charité, Berlin, Germany.",2000
1036,"Department of Surgery, UCLA Medical Center, Los Angeles, Calif 90095, USA.",2000
1037,"Department of Chemical Engineering and Harvard/Massachusetts Institute of Technology Division of Health Sciences and Technology, Massachusetts Institute of Technology, Cambridge, MA 02139, USA.",2000
1038,"Association of Medical Device Reprocessors, Washington, DC 20036, USA.",2000
1039,"Director of Occupational Health, Department of Safety, University of Wisconsin-Madison, Madison, WI 53715, USA.",2000
1040,"Department of Chemical Engineering, Montana State University, Bozeman, Montana 59717, USA.",2000
1041,"Center for Bioengineering, University of Washington, Seattle 98195, USA.",1996
1042,"Center for Bioengineering, University of Washington, Seattle 98195, USA.",1995
1043,"National ESCA and Surface Analysis Center for Biomedical Problems, University of Washington, Seattle 98195.",1992
1044,"Ortho-Clinical Diagnostics, Inc., a Johnson and Johnson Company, Rochester, New York, USA.",2000
1045,"School of Pharmacy and Pharmaceutical Sciences, University of Manchester, UK.",2000
1046,"State Institute for Drug Control, Prague, Czech Republic.",2000
1047,"Cameron McKenna Solicitors, London.",2000
1048,"Brigham and Women's Hospital, Division of General Internal Medicine, Boston, MA, USA.",2000
1049,"Team Consulting Ltd, Barkway, UK.",2000
1050,"Team Consulting Ltd, Cokenach, Barkway, UK.",1999
1051,"Griffith Micro Science Ltd, Somercotes, UK.",2000
1052,"Sorin Biomedica Nederland NV, Utrecht, The Netherlands.",2000
1053,"Catholic University of America, Columbus School of Law, USA.",2000
1054,"Department of Chemistry, University of Michigan, Ann Arbor 48109-1055, USA.",2000
1055,"Computer Motion, Inc., Santa Barbara, CA 93117, USA.",2000
1056,"US Food and Drug Administration, Winchester Engineering and Analytical Center, MA 01890, USA.",1999
1057,"Division of Pulmonary and Allergy Drug Products, and the CFC Work Group, Center for Drug Evaluation and Research, US Food and Drug Administration, Rockville, MD 20857, USA.",1999
1058,"Service Pharmaceutique, Hôpital Edouard Herriot, Lyon, France.",1999
1059,"Villanova University, PA, USA.",1995
1060,"Department of Applied Chemistry, Tokyo Metropolitan University, Hachioji, Japan.",1999
1061,"Basic Research Laboratories, Toray Industries, Inc., Kanagawa, Japan.",1990
1062,"Centre de Recherche Pédiatrique, Hôpital Ste-Justine, Montréal, QC, Canada.",1999
1063,"Biomedical Engineering Institute, University of Minnesota, Minneapolis 55455, USA.",1999
1064,"Department of Laboratory Medicine and Pathology, University of Minnesota Medical School, Minneapolis 55455.",1993
1065,"Environmental Response Center, Roy F. Western, Inc./REAC, Edison, NJ 08837-3679, USA.",1999
1066,"Northwest Health Services Research and Development Field Program, VA Puget Sound Health Care System, Seattle, WA, USA.",1999
1067,"TUV Product Service GmbH Paris, France.",1999
1068,"Doctors Hospital, Columbus, OH, USA.",1999
1069,"Department of Restorative Dentistry, Kings College Dental Institute, London.",1999
1070,"Department of Otolaryngology, McGill University, Montreal, Quebec, Canada.",1999
1071,"Department of Otolaryngology, Sir Mortimer B. Davis-Jewish General Hospital, Montreal, Quebec, Canada.",1995
1072,"Centre Oscar Lambret, Lille, France.",1999
1073,"Huntleigh Technology PLC, Luton, Bedfordshire, UK.",1999
1074,"Medical Devices Agency, London.",1999
1075,"Wolfson EQA Laboratory, Birmingham.",1999
1076,University of Toronto.,1999
1077,"Clinical Services, Hill Rom Europe, UK.",1999
1078,"St John's Institute of Dermatology, St Thomas's Hospital, London, UK.",1999
1079,"School of Pharmaceutical Sciences, São Paulo University, Brasil.",1999
1080,"Laboratory for Biocompatibility Research on Implant Materials, Istituti Ortopedici Rizzoli, Bologna, Italy.",1999
1081,"Angaran Associates, Ltd., Powell, OH 43065, USA.",1999
1082,"Division of Urology, Tampere University Hospital, Finland.",1999
1083,"Bureau of Food and Drugs, Department of Health Compound, Philippines.",1999
1084,"R&I Consulting International, Eden Prairie, MN 55346, USA.",1999
1085,"PolyMedica Industries, Inc., Woburn, MA 01801, USA.",1996
1086,"Institut für Molekulare Infektionsbiologie, Universität Würzburg, Germany.",1999
1087,"Department of Anaesthetics and Intensive Care Medicine, University of Wales College of Medicine, Cardiff CF4 4XN, UK.",1999
1088,"Department of Anaesthetics and Intensive Care Medicine, University of Wales College of Medicine, Cardiff, UK.",1997
1089,"Department of Anaesthetics and Intensive Care Medicine, University of Wales College of Medicine, Heath Park, Cardiff.",1996
1090,"Institute of Pathology, Case Western Reserve University, Cleveland, Ohio 44125, USA.",1999
1091,"Department of Chemical Engineering, Brigham Young University, Provo, Utah 84602, USA.",1999
1092,"Ministry of Health, Israel.",1999
1093,"University of Kansas Medical Center, Kansas City, Kansas, USA.",1999
1094,"Rexam Medical Packaging, Bristol, UK.",1999
1095,"Howmedica International S. de , Limerick, Ireland.",1999
1096,"Howmedica International, Inc., Limerick, Ireland.",1993
1097,"Howmedica International, Limerick, Ireland.",1992
1098,"Lumonics, Kanata, Ontario, Canada.",1999
1099,"Tüv Product Service Gmbh, Munich, Germany.",1999
1100,"TUV Product Service, München, FRG.",1993
1101,"Department of Internal Medicine, Asan Medical Center, University of Ulsan College of Medicine, Korea.",1999
1102,"University of Pittsburgh School of Medicine, Pittsburgh, PA 15232, USA.",1999
1103,"Biomed Center, Brown University, Providence, Rhode Island 02912, USA.",1999
1104,"CytoTherapeutics Inc., Brown University, Providence, Rhode Island 02912.",1995
1105,"CytoTherapeutics, Inc., Providence, Rhode Island 02906.",1994
1106,"Department of Electronic and Information Engineering, School of Engineering, Hokkaido University, Sapporo, Japan.",1999
1107,"Department of Diagnostic and Interventional Radiology, University Hospital, CHUV, Lausanne, Switzerland.",1999
1108,"Hogan & Hartson , Washington, , USA.",1999
1109,"McKenna & Cuneo, , Washington, , USA.",1999
1110,"McKenna, Conner & Cuneo, Washington, DC 20005.",1989
1111,"Baker & McKenzie, Chicago, IL, USA.",1999
1112,"Hannover Medical School, Department of Epidemiology, Social Medicine and Health System Research, Germany.",1999
1113,"Roland Berger & Partner GmbH, Munich, Germany.",1999
1114,"Institut für Mikrotechnik Mainz GmbH, Germany.",1999
1115,"PVC Information Council, Copenhagen, Denmark.",1999
1116,"Medical Device Consultancy, Cardiff, UK.",1999
1117,"Medical Device Consultancy, Cardiff, UK.",1996
1118,"Medical Device Consultancy, Cardiff, UK.",1996
1119,"School of Pathology, University of New South Wales, Sydney, Australia.",1999
1120,"Occupational Health Program-Safety Department, University of Wisconsin-Madison, Madison, Wisconsin, USA.",1999
1121,"Mayo Clinic, Department of Diagnostic Radiology, Rochester, MN 55905, USA.",1999
1122,"Division of Otolaryngology-Head and Neck Surgery, Department of Surgery, University of Maryland Medical System, Baltimore, USA.",1999
1123,"Division of Otolaryngology, University of Maryland Medical Center, Baltimore, USA.",1998
1124,"Division of Infectious Diseases, UNC School of Medicine, Chapel Hill, NC 27599-7030, USA.",1999
1125,"Clinical Pharmacy Programs, Health Services Corporation of America, St. Louis, MO 63044, USA.",1999
1126,"Department of Mechanical and Aerospace Engineering, School of Engineering and Applied Sciences, State University of New York at Buffalo, USA.",1999
1127,"Department of Radiology, Medical College of Virginia, Virginia Commonwealth University, Richmond 23298, USA.",1999
1128,"Institute for the Study of Medical Error, Bethesda, MD, USA.",1999
1129,"HBO & Company, Atlanta, Ga., USA.",1999
1130,"Institute of Biomedical Technology, Patras, Greece.",1999
1131,"Institute of Biomedical Technology Patras, Greece.",1999
1132,"Laboratory of Pharmacology, Pharmacokinetics and Clinical Pharmacy, Faculty of Pharmacy, 3 Rue du Professeur Laguesse,  83, 59006, Lille cedex, France.",1999
1133,"Hydrodynamics and Acoustics Branch, Division of Physical Sciences, Office of Science and Technology, Center for Devices and Radiological Health, Food and Drug Administration, Rockville, MD 20850, USA.",1999
1134,"Hydrodynamics and Acoustics Branch, Division of Physical Sciences, Office of Science and Technology, Rockville, MD, USA.",1999
1135,"Office of Science and Technology,  Food and Drug Administration (HFZ-132), Rockville, MD 20852, USA.",1997
1136,"Information Technology Division, Cleveland, Clinic, USA.",1999
1137,"Clinical Engineering Department, Cook County Hospital, Chicago, IL, USA.",1999
1138,"Central Pharmacy of Hospitals, Laboratory of Biological Controls, 7 rue du Fer á Moulin, F-75005, Paris, France.",1999
1139,"Giovanni XXIII Cancer Research Center, Institute of General Pathology, Catholic University, School of Medicine, Rome, Italy.",1999
1140,"ENEA, New Technologies Dpt., New Materials Div., Roma, Italia.",1999
1141,"Department of Pathology and Laboratory Medicine, University of California-Los Angeles School of Medicine 90024-1732.",1994
1142,"Biomaterials Bioreactivity Characterization Laboratory, UCLA Medical Center 90024-1732.",1990
1143,"Department of Pathology, University of California at Los Angeles 90024.",1987
1144,"Department of Orthopaedics, Royal Lancaster Infirmary, UK.",1999
1145,"Department of Pathology, University of Tennessee, Memphis 38163, USA.",1999
1146,"Department of Medical Microbiology, Havering Hospitals NHS Trust, Essex.",1999
1147,"University of California, USA.",1999
1148,"SWBC, Amsterdam.",1999
1149,"ECRI, Plymouth Meeting, PA, USA.",1999
1150,"Urban Shared Services Corporation, Winnipeg.",1999
1151,"BioWhittaker Inc., Walkersville, Maryland, USA.",1999
1152,"Bio Whittaker, Inc., USA-Walkersville.",1995
1153,"Food and Drug Administration, Rockville, MD 20857, USA.",1998
1154,"Food and Drug Administration, Rockville, Maryland, USA.",1998
1155,"Health Risk Resources International, London.",1998
1156,"Department of Chemical Engineering, University of Texas, Austin 78712, USA.",1998
1157,"US FDA, Center for Devices and Radiological Health, Rockville, MD 20857, USA.",1998
1158,"Department of Neurology, University of Heidelberg, Germany.",1998
1159,"Department of Materials Science and Engineering, Kwangju Institute of Science and Technology, Korea.",1998
1160,"Anaesthetic Department, Royal Victoria Infirmary, Newcastle Upon Tyne, UK.",1998
1161,"Department of Biomedical Engineering and Physics, University of Vienna General Hospital, Austria.",1998
1162,"Department of Dermatology, Katholieke Universiteit Leuven, Belgium.",1998
1163,"Inova Fairfax Hospital, Falls Church, Virginia, USA.",1998
1164,"Meriter Hospital, Madison, Wisconsin, USA.",1998
1165,"Texas Tech University Health Sciences Centre, School of Nursing, Lubbock, USA.",1996
1166,"Meriter Hospital, Madison, Wisconsin, USA.",1995
1167,"Texas Tech University Health Sciences Center, School of Nursing, Lubbock, USA.",1995
1168,"University of South Australia, School of Nursing, Adelaide.",1995
1169,"Texas Tech University Health Sciences Center, USA.",1995
1170,"University of South Australia, School of Nursing, Adelaide.",1993
1171,"North Adelaide, University of South Australia, School of Nursing.",1993
1172,"Department of Pharmaceutical Sciences, University of Nebraska Medical Center, Omaha, Nebraska 68198, USA. Pediatric Research Center, Room 1170B.",1998
1173,"Department of Anesthesiology, San Diego VA Medical Center, CA 92160.",1992
1174,"American Institutes for Research, Lexington, MA, USA.",1995
1175,"Leeds Dental Institute, UK.",1998
1176,"Klein Associates, Fairborn, Ohio, USA.",1998
1177,"Magill Department of Anaesthetics, Chelsea and Westminster Hospital, London, UK.",1998
1178,"Research Section, Heart Institute of St. Petersburg, Florida 33701, USA.",1998
1179,"Department of Membrane and Biomedical Materials, Japan Research Center,  Grace & Co. Connecticut, Atsugi.",1998
1180,"Toxicology Group Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram, Kerala, India.",1998
1181,"Department of Electrical and Computer Engineering, University of Victoria, BC, Canada.",1998
1182,"Channing Laboratory, Department of Medicine, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts 02115-5899, USA.",1998
1183,"Department of Chemistry, Rutgers, State University of New Jersey, New Brunswick 08903, USA.",1998
1184,"Medical Devices Agency, UK Department of Health, London.",1998
1185,"Department of Health Medical Devices Directorate, London.",1993
1186,"Team Consulting Ltd, Barkway, UK.",1998
1187,"Quality First International Ltd, Southport, UK.",1998
1188,"Department of Cardiothoracic Surgery, Gentofte Hospital, University of Copenhagen, Hellerup, Denmark.",1998
1189,"Center for Health Care Policy and Evaluation, United HealthCare, Minneapolis, MN 55440, USA.",1998
1190,"Office of Clinic Management and Patient Services, University of Pennsylvania School of Dental Medicine, Philadelphia 19104-6003, USA.",1998
1191,"Department of Microbiology and Immunology, The University of Western Ontario, and the Lawson Research Institute, London, Canada.",1998
1192,"Institute of Biomedical Technologies, National Research Council of Italy, Roma.",1998
1193,"MedPass International, Paris, France.",1998
1194,"MedPass International, Paris, France.",1997
1195,"SGS Medical Devices, Sheffield, UK.",1998
1196,"Department of Occupational and Insurance Medicine, School of Public Health, Katholieke Universiteit Leuven, Belgium.",1998
1197,"ECRI, Plymouth Meeting, PA.",1994
1198,"Programme on Health Technology, World Health Organization, Geneva.",1998
1199,University of Wales.,1998
1200,"GI Unit Placentia-Linda Community Hospital, Placentia, CA 92670, USA.",1998
1201,"Mikrobielle Genetik, Universität Tübingen, Waldhäuser Strasse 70/8, 72076 Tübingen, Germany.",1998
1202,"Department of Microbiology, University College London Hospitals, UK.",1998
1203,"Department of Pediatric Research, National Hospital, Oslo, Norway.",1998
1204,"FAXiL, Department of Medical Physics, General Infirmary, Leeds, West Yorkshire, United Kingdom.",1998
1205,"Dipartimento Dello Opere Sociali, Ufficio del farmacista cantonale, Mendrisio, Switzerland.",1998
1206,"Yo San University of Traditional Chinese Medicine, Santa Monica, California 90401, USA.",1998
1207,"Forschungszentrum Karlsruhe, Institut für Mikrostrukturtechnik, Germany.",1998
1208,"Isotron, Elgin Industrial Estate, Swindon, UK.",1998
1209,"Tayside Rehabilitation Engineering Services, Dundee Limb Fitting Centre.",1998
1210,"Medical School of Hannover, Department of Biosignal Processing, Germany.",1998
1211,"Medical School, Hannover, Germany.",1993
1212,"IEEE 1073 Standard for Medical Device Communications Committee, Acute Healthcare Solutions, Meredith, NH 03253, USA.",1998
1213,"LinkTech, Inc., NY 11793, USA.",1997
1214,"Nicholls State University, USA.",1998
1215,"Department of Mechanics and Materials Sciences,  Food and Drug Administration, Rockville, MD 20852, USA.",1998
1216,"University of Pennsylvania School of Nursing, Philadelphia, USA.",1998
1217,"Center for Reproductive Medicine and Surgery, 9675 Brighton Way, Ste. 420, Beverly Hills, CA 90210, USA.",1998
1218,"Medical Physics Department, Royal United Hospital Bath Trust.",1998
1219,"MDCI Ltd, Crawley, UK.",1998
1220,"CSMA Ltd, Manchester, UK.",1998
1221,"CSMA Ltd., Manchester, UK.",1996
1222,"CSMA Ltd., Armstrong House, Manchester, UK.",1996
1223,"Queensway General Hospital, Toronto, Ontario.",1998
1224,"Great Ormond Street Hospital for Children NHS Trust, London, UK.",1998
1225,"National Center for Toxicological Research,  Food and Drug Administration, Jefferson, AR 72079-9502, USA.",1998
1226,"National Center for Toxicological Research, Rockville, MD, USA.",1998
1227,"Division of Health Sciences,  Consumer Product Safety Commission, Washington, DC 20207, USA.",1998
1228,"Medical Informatics Research Centre, University of Turku, Finland.",1998
1229,"Department of Neurosurgery, Centre Hospitalier Universitaire Vaudois, Lausanne, Switzerland.",1998
1230,"ALARIS Medical Systems, Basingstoke, Hampshire.",1998
1231,Bath Institute of Medical Engineering.,1997
1232,"Sifam Ltd, Torquay, UK.",1998
1233,"Department of Ophthalmology and Visual Sciences, University of Illinois at Chicago 60612-7243, USA.",1998
1234,"Imutran Ltd. (A Novartis Pharma AG Company), Cambridge, UK.",1998
1235,"University of South Australia-City East, Faculty of Nursing, Adelaide.",1998
1236,"Department of Pharmaceutics, Biopharmaceutics & Biotechnology, The Free University of Berlin, Germany.",1998
1237,"Welding Institute (TWI), Centre for Adhesive Technology, Abington, Cambridge, UK.",1998
1238,"IDEO Product Development, London, UK.",1998
1239,"Infectious Disease Division, Hartford Hospital, Connecticut, USA.",1998
1240,"Advanced Sterilization Products, Irvine, CA 92618-9824, USA.",1998
1241,"Interdisciplinary Research Centre in Biomedical Materials, Queen Mary and Westfield College, London,",1998
1242,"Center for Devices and Radiological Health,  Food and Drug Administration, Rockville, Maryland 20852, USA.",1998
1243,"American Medical Informatics Association, Bethesda, MD, USA.",1997
1244,"Department of Plastic Surgery at The University of Texas M. D. Anderson Cancer Center, Houston 77030, USA.",1997
1245,"Department of Plastic Surgery, University of Texas M. D. Anderson Cancer Center, Houston, USA.",1997
1246,"Department of Clinical Immunology, Karolinska Hospital, Stockholm, Sweden.",1997
1247,"Health Professionals for Global Responsibility, Sydney, NSW.",1997
1248,"Southwest Texas State University, Austin, USA.",1997
1249,"Menicon Co. Ltd., Research and Development Laboratories, Quality Assurance Division, Aichi, Japan.",1997
1250,"PolyBioMed Ltd., Sheffield, UK.",1997
1251,"Waseda University, Tokyo, Japan.",1997
1252,"Department of Anesthesiology, University of Washington School of Medicine and the Virginia Mason Medical Center, Seattle 98111-0900, USA.",1997
1253,"Department of Dermatology, Academisch Ziekenhuis Maastricht, The Netherlands.",1997
1254,"Department of Orthopaedic Surgery, Tulane University School of Medicine, New Orleans, LA 70112, USA.",1997
1255,"Department of Dermatology, Medical College of Wisconsin, Milwaukee, USA.",1997
1256,"Dutch Standardization Institute, Delft, The Netherlands.",1997
1257,"SGS United Kingdom Ltd, Bowburn, UK.",1997
1258,"Product Certification Division, British Standards Institution (BSI), London, UK.",1997
